=== 智慧排程 ===

ID   | 項目           | 預計    | 類型  
--------------------------------------
[#33] 大麥克          | 160s | [外帶]
[#34] 大麥克          | 168s | [外帶]
[#35] 大麥克          | 176s | [外帶]
[#36] 大麥克          | 184s | [外帶]
[#37] 大麥克          | 192s | [外帶]
[#38] 大麥克          | 200s | [外帶]
[#39] 大麥克          | 208s | [外帶]
[#40] 大麥克          | 216s | [外帶]
[#41] 大麥克          | 224s | [外帶]
[#42] 大麥克          | 232s | [外帶]
[#43] 大麥克          | 240s | [外帶]
[#44] 大麥克          | 248s | [外帶]
[#45] 大麥克          | 256s | [外帶]
[#46] 大麥克          | 264s | [外帶]
[#47] 大麥克          | 272s | [外帶]
[#48] 大麥克          | 280s | [外帶]
[#49] 大麥克          | 288s | [外帶]
[#50] 大麥克          | 296s | [外帶]
[#51] 大麥克          | 304s | [外帶]
[#52] 大麥克          | 312s | [外帶]
[#53] 大麥克          | 320s | [外帶]
[#54] 大麥克          | 328s | [外帶]
[#55] 大麥克          | 336s | [外帶]
[#56] 大麥克          | 344s | [外帶]
[#57] 大麥克          | 352s | [外帶]
[#58] 大麥克          | 360s | [外帶]
[#59] 大麥克          | 368s | [外帶]
[#60] 大麥克          | 376s | [外帶]
[#61] 大麥克          | 384s | [外帶]
[#62] 大麥克          | 392s | [外帶]
[#63] 大麥克          | 400s | [外帶]
[#64] 大麥克          | 408s | [外帶]
[#65] 大麥克          | 416s | [外帶]
[#66] 大麥克          | 424s | [外帶]
